Transaction_ID,Customer_ID,Customer_Name,Customer_Age,Gender,Product_ID,Product_Name,Category,Sub_Category,Price,Quantity,Total_Amount,Discount_Percentage,Discount_Amount,Payment_Method,Transaction_Date,Delivery_Status,Delivery_Date,Region,City,Delivery_Executive,Customer_Rating,AverageRating,Feedback_Comment,FeedbackType,SalesChannel,TotalSales
ae2b2bae-c1cf-44f9-a1b7-9999a3cee65f,97cb9147-bd8a-4867-8677-0db0e3c5a307,Sue Vargas,49,Other,f1e9bd43-6708-4f4f-aa6d-1a7166b48b12,Fast,Clothing,Men's Wear,439.9,8,3167.28,10,351.92,UPI,07-09-2024,Delivered,20-04-2024,North,Chennai,Harold Mckenzie,4,4.34,Event best remain.,Positive,Online,4852.8
bfc2b5c9-3186-4b7a-8a8b-b1bcea2e0dc2,038d63a3-419d-45c9-b828-6e789fd39995,Paul Smith,41,Female,d121a5c5-c540-4433-a04f-44cbee095c1a,Give,Personal Care,Hair Care,288.72,5,1227.06,15,216.54,UPI,31-01-2024,Delivered,09-08-2024,West,Bangalore,Ronald Schmidt,3,3.95,Number step woman visit effort.,Neutral,Online,3569.94
c42f7561-d3da-4374-a394-973ab14a0ea5,6d6a6d78-85da-4c96-88fe-4aa4158b9eb0,David Guerrero,44,Female,330839b9-006e-49db-8aeb-2fcd06449f53,What,Personal Care,Health Supplements,306,7,2034.9,5,107.1,Cash on Delivery,11-10-2024,Delivered,22-04-2024,South,Bangalore,Shannon Simmons,5,3.89,Heavy plant sister sport maintain help.,Positive,Online,3885.4
257b8390-c12a-4b61-9f45-93c8365c15bd,26a51b07-632b-401e-b5fa-ab97a73e9861,Marco Jennings,46,Male,3d524f89-0e63-4b27-b537-7c5b02037756,Method,Personal Care,Hair Care,283.73,2,510.71,10,56.75,Cash on Delivery,10-07-2024,Out for Delivery,,East,Bangalore,Vanessa Hernandez,2,3.73,Gas ability any since it red.,Positive,In-store,1284.38
c813f3ef-e4d9-4ffe-8a8f-5b4719c7aeff,cdac48f2-8076-4c39-9012-040a57c46fd6,Jennifer Serrano,53,Male,15a5a44b-1945-469c-a0bc-7886bf5f8018,No,Personal Care,Oral Care,130.97,3,353.62,10,39.29,Wallet,29-03-2024,Delivered,09-06-2024,South,Delhi,Ashley Nelson,5,4.81,Really unit a answer support eat offer.,Neutral,Online,2343.49
17ab06ac-0677-4639-8c0e-7af9576a2330,4083b712-b410-4988-8726-f2db5c49acc3,Ronald Padilla,59,Other,bc5ad057-fca4-400c-9e2a-c5c5b0a8150f,Month,Household,Decor,72.19,1,64.97,10,7.22,Credit Card,23-06-2024,Delivered,10-03-2024,South,Delhi,Jason Reed,4,4.99,Management remain third at.,Positive,In-store,3502.6
3bc37baf-b939-4201-9835-849fa721fffe,380cab7c-9166-4af5-b5a0-e4d0ae18df6f,Jennifer Coleman,36,Female,037c347a-c0fa-4f30-bcab-aeea42a5db6c,Task,Groceries,Vegetables,171.18,7,1018.52,15,179.74,Cash on Delivery,11-07-2024,Delivered,03-07-2024,South,Hyderabad,Darren Clark,1,2.2,Available suffer create main statement even site.,Neutral,Online,160.76
0a6e50cb-7028-4616-bef0-a54f57cf320c,0e1981b4-0bdb-4ac5-820a-a396d15f80a9,Malik King,53,Female,7ae772dc-0d15-40f1-ac51-ac0c09c0cf2a,Sure,Electronics,Laptop,232.64,3,593.23,15,104.69,Credit Card,21-07-2024,Pending,,South,Bangalore,Nathaniel Estrada,3,2.96,Score score make else everybody rate do.,Negative,In-store,204.1
ae191105-1575-4faa-bd9b-8a7d7d5875cb,3dc24b0d-c49c-432e-8e60-4cde8fcdcb3a,Laurie Daniel,62,Male,3fff07c2-3a30-4117-8746-0563fb9983a2,Discussion,Personal Care,Health Supplements,389.07,2,700.33,10,77.81,Cash on Delivery,25-06-2024,Delivered,10-09-2024,East,Mumbai,Victoria Walker,2,2.89,Hard piece computer stuff.,Negative,Online,3568.03
9aa512fc-7e90-43cb-9431-821bc38e5359,5044f547-21ea-43e7-b1db-0699536d349c,April Hines,69,Male,522706a0-8432-4612-a9e6-f6c4f96b3cbb,Five,Personal Care,Health Supplements,393.43,6,2242.55,5,118.03,Debit Card,10-01-2024,Cancelled,,East,Delhi,Timothy Fernandez,3,4.98,Much into even prevent rate its.,Positive,Online,2102.4
eae8aaa4-94ab-419e-8923-6783e68b3801,8093f8af-b2b7-4124-afc6-cdf0c6c36459,Arthur Lewis,48,Male,2a91b7cc-68c4-4423-88be-7dd356daecf5,Word,Personal Care,Skin Care,158.79,3,428.73,10,47.64,Debit Card,14-05-2024,Pending,,South,Mumbai,Angela Meadows,4,2.79,Process agent business attorney certain.,Negative,Online,3964.19
aa8c0dae-2166-4e4b-9b56-b128ee5d5480,60347a2d-4870-4da1-9bc9-b60a76efa310,Kayla Hernandez,34,Other,683f596d-e6e6-4589-9264-9e53f0792efc,Program,Household,Furniture,76.57,9,585.76,15,103.37,Cash on Delivery,09-03-2024,Delivered,21-07-2024,South,Kolkata,Brooke Jenkins,1,2.68,Consider image notice boy could.,Positive,Online,1995.67
2ec5da1b-cbd0-488b-981d-4dbbe23beeec,7b89dc30-f0d5-4d6b-bc32-a5b47b6e1243,Jennifer Gould PhD,31,Other,b552baaa-3adb-444c-9d10-29b4628c92f7,Five,Household,Decor,307.91,6,1847.46,0,0,UPI,22-02-2024,Cancelled,,East,Hyderabad,Gina Thomas,5,2.73,Off else rise successful.,Negative,Online,3786.01
708f438b-d5ae-49c2-aa70-413589a08bdc,4f83f8ae-4b58-4ce9-9e95-68c553fde2ad,Charles Moore,42,Female,13a9b106-c0e0-4458-92d2-e8bac9d22a70,Voice,Household,Kitchenware,497.82,7,3136.27,10,348.47,UPI,23-05-2024,Delivered,24-05-2024,East,Chennai,Ashley Nelson,4,2.28,Seven you decision.,Positive,Online,1785.82
4bc25626-0ba0-429b-8ad5-1d2050c05d22,9c6bef96-77f0-46eb-9135-a5b0be20bf07,Jeremiah Brown,56,Female,91104246-0f15-4ea8-8713-2dad7284b15b,Suffer,Household,Cleaning Supplies,217.85,9,1862.62,5,98.03,Wallet,20-02-2024,Delivered,18-12-2024,West,Ahmedabad,Timothy Fernandez,5,3.08,Piece community behind threat.,Neutral,In-store,4621.4
79c06710-5ebc-4160-800e-7bdabef7b036,75f57bec-62ed-4057-b8fc-c03dbc906929,Elizabeth Gonzalez,69,Other,50ce207f-43fc-4d1b-ad46-fa4feb224acf,Test,Clothing,Footwear,124.91,7,786.93,10,87.44,Wallet,23-11-2024,Delivered,14-04-2024,East,Hyderabad,Jeremy Morrison,4,4.15,Provide quickly campaign peace later say.,Negative,In-store,4438.45
7fdac83a-2920-41b3-85c0-da65aa5622de,e6bed7c9-040d-4329-bef3-eec0c046433b,Tiffany Wilson,28,Male,0d821e3e-d025-4869-8206-4c8104bb22b9,Expert,Clothing,Kids' Wear,243.95,3,622.07,15,109.78,Credit Card,08-05-2024,Out for Delivery,,North,Chennai,Diana Jones,2,3.55,Road those opportunity likely.,Negative,Online,2052.5
0444f08b-8d22-4213-9dd3-0f117a71cb7d,3d34d53c-4935-49e8-a53c-f272407b8b9c,Jennifer Martinez,42,Male,0879c60a-d5a1-4b00-bb1f-7041e19d1f88,Cost,Household,Cleaning Supplies,315.38,9,2838.42,0,0,Debit Card,03-11-2024,Pending,,East,Mumbai,Dawn Gray,3,1.65,Experience laugh part exactly.,Positive,Online,2440.47
2c4e818f-f881-417c-9cee-95dbf779a34e,f20a8059-76d9-4138-a6d4-f6ec7b295661,Mary Lee,23,Male,ea9a93d9-fb41-4673-a3e7-a7582c20be40,Nice,Groceries,Beverages,428.75,2,686,20,171.5,Wallet,13-04-2024,Cancelled,,South,Bangalore,Dawn Gray,5,3.13,Perform yourself bar fast idea few society student.,Neutral,In-store,4893.4
862e6350-3c42-4e2c-960e-e2c795198aee,f99c0481-04ae-4db7-a192-490a347f6a83,Brooke Williams,22,Other,7acb8e71-bdb7-40fc-b8a5-5d70319ed14f,Tv,Personal Care,Skin Care,284.12,9,2045.66,20,511.42,Credit Card,29-03-2024,Out for Delivery,,North,Ahmedabad,Jason Reed,1,4.94,Mind budget either single event fall.,Neutral,Online,165.73
d8314f21-702e-43de-8003-dba413ae2737,2ec80f4a-eb4f-4dcd-a4d1-0e7f102c22fd,Paul Johnson,40,Male,69d34736-69a2-46de-b7c9-2c16504ba035,Water,Electronics,Mobile,40.47,7,283.29,0,0,Credit Card,07-06-2024,Out for Delivery,,East,Ahmedabad,Dawn Gray,5,1.11,Phone international summer scene value west value.,Neutral,Online,2398.23
6f7fb7df-88e3-4100-8393-1178e131b26a,57c50223-8c80-4deb-94fa-a72cea0483d4,Patricia Bell,66,Male,65d53e74-e425-44fb-937f-4a001f69a40e,Draw,Groceries,Fruits,374.76,10,3560.22,5,187.38,Wallet,06-11-2024,Delivered,29-05-2024,West,Ahmedabad,Dr. Justin Payne MD,3,4.41,Close drive leader sort.,Negative,In-store,1680.95
6c31e404-9492-4ee8-aa71-99c779796c77,9e15b9a7-d5cd-4994-9cca-79d4929a3f95,Rachel Williams,57,Other,c8f99c23-7a71-4c13-bc5b-78365d81ee79,Next,Personal Care,Oral Care,238.34,8,1716.05,10,190.67,UPI,08-12-2024,Out for Delivery,,East,Ahmedabad,David Holmes,5,3.15,Daughter style easy side help dinner.,Positive,Online,4875.32
58c942b6-9574-40f5-adfb-d5b392d41d32,bfaa9d89-eef9-46da-8ea5-51cef98ff12e,David Wells,34,Female,14bb5151-47dc-4479-87a9-efb117d22288,Series,Personal Care,Hair Care,414.28,4,1325.7,20,331.42,Cash on Delivery,08-06-2024,Cancelled,,West,Bangalore,Christopher Hernandez,1,4.28,Stock among lead break loss generation air.,Negative,Online,3767.8
df8e59ea-3656-436f-acea-a52e3b85fd53,661dbe20-f76b-4a84-9308-2b8ad41d5c26,Heidi Escobar,29,Other,06c2bd40-04df-4ff7-85b7-697557eb1687,Case,Electronics,Accessories,24.69,9,199.99,10,22.22,Debit Card,12-12-2024,Delivered,28-06-2024,West,Bangalore,Isaiah Washington,2,2.32,Two quickly do ask.,Negative,In-store,2013.38
36b5f0e6-d459-46f0-adf9-c466a4c5690c,5e5f1f53-42ae-4e34-9b36-7a0bb687fdb6,Philip Farrell,18,Other,47e79ec0-5b23-457a-b5cf-35edad3dddae,Tell,Clothing,Footwear,57.12,4,194.21,15,34.27,Debit Card,23-09-2024,Out for Delivery,,North,Delhi,Sherri Johnson,3,3.95,Decision discover year listen health always continue.,Negative,Online,4526.49
c4d75cae-05ca-49c8-8489-944358a21753,102a7591-c394-448f-aa2d-a469a53c73b0,Seth Pugh,21,Other,a87d63f2-e232-40b9-9bd9-a2b813d2fecc,Land,Electronics,Home Appliances,246.74,5,1110.33,10,123.37,UPI,16-07-2024,Out for Delivery,,East,Chennai,Charles Preston,4,3.33,Special finally TV two sign.,Neutral,In-store,1345.92
2ba608cd-47c1-47e6-9e82-449407a6bd8f,bb1f599f-036b-4c4f-a311-105b3355ea14,Joshua Banks,26,Female,7374ea15-69f9-43e2-96f4-6a9598cb7fb4,Indeed,Personal Care,Skin Care,332,3,896.4,10,99.6,Cash on Delivery,09-01-2024,Pending,,South,Ahmedabad,Shannon Simmons,3,3.86,Participant response wind hair until economy ask phone.,Negative,In-store,4044.24
8540b267-392a-413f-8eb3-2090a8fcfb7a,f767aee8-7116-40a8-9c44-d39d905aa939,Sherry Newton,70,Female,a1f497b2-12ce-4c8c-9bf6-a7a476f9f39f,Nor,Personal Care,Hair Care,41.55,2,83.1,0,0,Cash on Delivery,16-01-2024,Cancelled,,North,Chennai,Nathaniel Estrada,2,2.42,Career gas political improve continue street.,Positive,Online,1814.44
1b5df5d4-1672-4308-a02c-88db7f8ae2fc,32aaa5f2-de66-49f6-a116-279ac1420ae5,Kim Murphy,55,Female,5b38b41e-a9f6-4f86-bdb2-c5d185a8d0bd,Laugh,Household,Kitchenware,291.85,1,233.48,20,58.37,Credit Card,14-02-2024,Cancelled,,North,Bangalore,Kyle Young,5,4.87,Discuss hundred exist company sea agreement.,Negative,Online,3436.61
b66b17f3-cc72-4680-a378-25b92b1ea91d,dd9f9064-ec09-4bb2-84d3-744d070bb2e4,Jeremy Barrera,53,Male,802582cf-fbc2-4b3f-ab66-1d7fd75d20e9,Understand,Groceries,Snacks,368.23,4,1399.27,5,73.65,Cash on Delivery,25-04-2024,Pending,,South,Kolkata,Nancy Cunningham MD,4,1.46,Rise do piece Congress.,Neutral,In-store,2719.51
14a25009-4cc4-43a6-9b29-69c0dcbd8643,e9b200fc-03eb-4e27-9e9b-cf93ef7e9a02,Benjamin Stevens,36,Male,c8943868-552e-4258-af60-895220fe79b3,Must,Clothing,Men's Wear,406.28,10,3453.38,15,609.42,Credit Card,05-06-2024,Delivered,31-03-2024,South,Pune,David Holmes,2,4.24,Three half total fire thing.,Neutral,Online,4324.61
1cc3eae2-e244-4a30-b508-4f1639ae9c17,82a77d34-0a51-429b-8a8b-2b5d4e1724a0,Isabel Sanchez,68,Other,addc32e4-45b5-4cc1-b1ab-f10ddfb98b71,Happy,Personal Care,Health Supplements,33.87,8,270.96,0,0,UPI,03-12-2024,Delivered,14-09-2024,West,Delhi,Brooke Jenkins,5,1.98,Model fear audience structure would yourself though.,Negative,In-store,3769.22
6988be4e-4c0c-4c90-bd96-50997507364e,a31e4d2a-793c-4ae9-b3cb-689ef7e97c36,Jennifer Murray DVM,31,Male,3a7e45cc-cfb3-41e7-9b4f-a15ac1dfb033,Stage,Groceries,Snacks,360.18,4,1152.58,20,288.14,Cash on Delivery,25-03-2024,Delivered,18-02-2024,North,Kolkata,Kyle Young,2,1.88,Never paper environment song task bar yeah maybe.,Neutral,In-store,3774.64
81b43aff-d466-4601-b20b-0645b5ac77b3,7e9cbcdf-2ed3-408c-bd90-ba80a93add0e,Ethan Riddle,54,Male,d9008190-3c08-4f84-b7f3-1cf502d49129,Entire,Groceries,Snacks,175.66,3,526.98,0,0,Cash on Delivery,19-06-2024,Pending,,West,Hyderabad,Timothy Fernandez,5,4.75,Physical open trade.,Positive,In-store,1917.59
c7385547-7afc-461a-92ec-a215bc1a61f7,801b8cdd-24e4-4af1-b3a1-6922b6639d82,Makayla Weber,28,Female,bc668ef1-0cf6-4a8a-a1ea-9983f3c62815,Never,Groceries,Beverages,132.55,6,755.53,5,39.77,Wallet,08-05-2024,Cancelled,,South,Bangalore,Amanda Curtis,2,2.5,Hair beat study each.,Neutral,Online,1834.18
075f3eb5-ebd3-44f3-91c9-4c454ca83f19,e731870f-364d-4fbe-a759-0543f728ca1f,Danielle Huynh,31,Female,021cdc6f-ab24-483a-8168-a51ba609bae0,Class,Electronics,Mobile,445.91,3,1137.07,15,200.66,Cash on Delivery,16-09-2024,Pending,,North,Bangalore,Dr. Justin Payne MD,5,1.13,Notice war thank forget dinner page.,Neutral,Online,1147.58
a781be3e-4502-4e1f-8029-eddd2e399b1d,f01bf6f9-c171-4c06-956a-e344108fa2ff,Philip Cummings,49,Male,3c25677b-f69c-44df-bc31-2420fdd6008a,Federal,Household,Decor,475.34,3,1212.12,15,213.9,Wallet,29-04-2024,Delivered,22-05-2024,West,Hyderabad,Amanda Skinner,5,3.22,Pattern represent manage interest.,Negative,Online,4000.42
e2e8fe1b-6009-4b78-a5ad-6408cd4c35bc,2c93799c-9440-4f38-8892-c3e69c9073c0,Samantha Logan,39,Other,16a10bd4-d591-4244-9544-4082139310ee,Difficult,Household,Kitchenware,134.76,5,539.04,20,134.76,Credit Card,28-04-2024,Out for Delivery,,East,Chennai,Michael Hernandez,4,3.14,Human from direction figure country.,Neutral,Online,2759.71
6cab52cb-3449-4a12-9843-ccfbff603d82,f39f93ba-b363-4250-b552-719ed064b62f,April Montoya,53,Other,7fce47ea-cf54-4810-add4-a4020c9e050f,That,Personal Care,Skin Care,315.66,1,284.09,10,31.57,Debit Card,25-02-2024,Out for Delivery,,South,Hyderabad,Victoria Walker,1,3.4,Its girl sea idea.,Neutral,Online,829.68
299fdd0d-8881-46a7-98dc-d89eaae30716,8843092a-c1bb-4b68-874f-035217dc3c97,Adam Gordon,62,Other,2c03ab22-a0c6-40cb-873c-c3cf87a51dd7,Live,Household,Kitchenware,271.78,6,1386.08,15,244.6,Wallet,17-04-2024,Pending,,West,Kolkata,Amanda Skinner,1,4.56,Month itself someone soon north necessary.,Positive,In-store,2069.39
11b9b7db-7a33-4478-bc26-9562e54acf29,505a6b71-48b6-48af-8fcb-3118c8e90bdb,Haley Rice,29,Female,69018920-a44d-46b6-a30f-164ab2b88d67,When,Electronics,Accessories,320.49,3,913.4,5,48.07,Debit Card,06-01-2024,Pending,,North,Kolkata,Ashley Nelson,5,1.46,Enjoy save tonight high.,Positive,In-store,873.69
bb63d21d-edc9-4047-a3ca-bbd81c3890cf,7d5bdbaf-6206-4f89-9313-a3bc4e63f8a9,Juan Wilson,23,Other,a78cd950-6710-42de-b658-a9950f88a796,Police,Electronics,Laptop,395.7,3,1068.39,10,118.71,UPI,04-02-2024,Delivered,12-08-2024,North,Kolkata,Ronald Schmidt,2,2.43,Realize establish add language station skin trip.,Negative,In-store,4103.68
9a9e1940-f70a-4962-b96f-097313227de2,f7b589d4-c8ba-43f5-aed6-3ca69f68b515,Dana Ingram,31,Male,34c2fd77-4452-4e06-8566-e14efbdee641,Sense,Household,Decor,51.8,3,147.63,5,7.77,Wallet,26-01-2024,Pending,,North,Pune,Daniel Smith,1,1.05,Way daughter simply data involve season.,Positive,In-store,788.1
83ebae91-5618-4df7-ac5a-72f250b764a3,d2c870f7-dcd9-4d24-a01d-a3c80762082c,Marcia Knight,38,Other,ec3f3662-b0d8-4020-9b4c-13ce77f04e92,Stuff,Electronics,Home Appliances,66.64,10,566.44,15,99.96,Debit Card,06-10-2024,Delivered,11-02-2024,South,Chennai,Dr. Justin Payne MD,1,1.63,Exist miss week center level fine.,Positive,In-store,4873.39
8ada0ae3-df63-46bb-99fb-cd401a1da510,5bf1828f-ab6a-440b-83a3-855894258f9d,Wendy Burton,27,Other,b763d2ed-6081-4625-86ea-086a79d0293d,Represent,Electronics,Laptop,266.06,5,1130.76,15,199.54,Credit Card,19-05-2024,Cancelled,,South,Delhi,Amanda Curtis,4,3.31,Decade although tree remain term.,Neutral,Online,348.82
c438d902-bd5d-4f31-b723-348efe854fa9,82f16e63-4d65-43f4-bf04-b1103d354cea,Dr. Jamie Moore,29,Male,6b446841-b1a1-42ad-b5e5-9cf35f3deeeb,Late,Groceries,Beverages,293.57,1,293.57,0,0,Wallet,02-12-2024,Out for Delivery,,West,Pune,Kyle Young,5,1.85,Understand almost majority meet.,Negative,Online,410.6
c8d0d47f-8d41-411b-a60f-d776596895f6,20c1b3f2-10c0-40e1-9bba-9f0600de538c,Breanna Winters,65,Male,32380821-a756-4571-b314-0456dc5d897e,Much,Household,Kitchenware,264.53,9,1904.62,20,476.15,Wallet,22-09-2024,Cancelled,,West,Mumbai,Kayla Murphy,1,4.74,Marriage huge question.,Negative,Online,2097.76
c2822a5a-ed29-4fe1-9371-b548c3691a24,8a9492c9-3543-450a-bb85-4da73f7875cd,Angela Curry,22,Other,a829d217-dc7c-4bbe-8303-0cb78158da9b,Citizen,Electronics,Accessories,423.52,5,1799.96,15,317.64,Wallet,16-06-2024,Pending,,North,Bangalore,Charles Preston,4,1.76,Support walk her star improve.,Positive,Online,2630.91
d72f975c-2fd2-4ec8-98a1-4649d52345d3,18adde98-a544-40dd-862c-d1ca32fdd5d3,Logan Hamilton MD,45,Female,20e903d5-7c8a-45b7-a3eb-e6bbe64c03a2,Sometimes,Clothing,Kids' Wear,183.65,7,1156.99,10,128.56,Cash on Delivery,26-11-2024,Delivered,20-05-2024,South,Mumbai,Amanda Skinner,4,1.05,Care herself but than point reduce.,Neutral,Online,543.78
ba004908-f5ae-418f-af8b-a4de11b0c37b,9022eac1-99bf-454b-b7dc-2acbdd6e891c,Jordan Maxwell,57,Female,7ddd9707-1217-478d-8770-33228e8e46d6,Significant,Household,Furniture,432.5,3,1232.62,5,64.88,Cash on Delivery,09-09-2024,Out for Delivery,,North,Mumbai,Thomas Cox,1,3.05,Who buy hot.,Positive,Online,511.89
1de1e7db-9f55-496f-bf8d-cba4319f1b21,0d3a9993-879c-45c2-80de-980d44c8a4e0,William Rogers,28,Female,38067474-21bf-4abb-a59c-97182f7bf178,Face,Groceries,Beverages,233.35,1,221.68,5,11.67,Wallet,01-06-2024,Delivered,29-04-2024,West,Pune,Ryan Stanley,1,3.33,Young research ready the special central trade.,Neutral,Online,3650.5
91054447-b9ef-417b-b75d-d3ded8f51d28,a65c4846-b3b7-4142-a4d1-8da592cc385c,Melissa Grant,64,Female,97852ae5-b594-40bb-87b3-a3e7568f040a,Program,Groceries,Vegetables,279.03,3,837.09,0,0,Credit Card,21-10-2024,Delivered,13-02-2024,North,Kolkata,Dawn Gray,5,2.78,Let feeling trouble decision indicate ability business.,Positive,Online,3732.84
8dc5bb05-0ff3-41eb-9b2a-58a3fa94b019,6b892cab-30ae-42de-a32e-6ab920ab80ee,Brandon Clark,53,Male,b147884f-4304-496f-91f4-b9bfa3fa230e,Fire,Personal Care,Skin Care,305.65,8,2200.68,10,244.52,UPI,19-11-2024,Cancelled,,West,Mumbai,Daniel Smith,5,4.58,Along chance anything cultural design girl.,Positive,In-store,4307.71
777312bb-d094-49eb-aeda-e114b484dbf0,466a74e0-7cd5-47d5-8771-97c1aa3cc06e,Joseph Cole,48,Other,43923bb2-8abd-452e-9e75-82f24218f6ad,Mean,Groceries,Vegetables,60.65,1,60.65,0,0,UPI,28-04-2024,Pending,,South,Chennai,David Holmes,2,3.22,Traditional have marriage special onto.,Negative,In-store,2185.01
